
TOTAL_KB_COMMITTED  
--------------------
             4889472

  1 record(s) selected.



SET_TYPE             POOL_TYPE            DBNAME               KB_COMMITTED        
-------------------- -------------------- -------------------- --------------------
APPLICATION          APPLICATION          IOCDB                                   1                 1017                    -                   64                   64
APPLICATION          APPLICATION          IOCDB                                   1                 1016                    -                   64                   64
APPLICATION          APPLICATION          IOCDB                                   1                 1015                    -                   64                   64
APPLICATION          APPLICATION          IOCDB                                   1                 1014                    -                   64                   64
APPLICATION          APPLICATION          IOCDB                                   1                 1012                    -                   64                   64
APPLICATION          APPLICATION          IOCDB                                   1                 1011                    -                   64                   64
APPLICATION          APPLICATION          WIHDB                                   1                  713                    -                   64                   64
APPLICATION          APPLICATION          WIHDB                                   1                  712                    -                   64                   64
APPLICATION          APPLICATION          WIHDB                                   1                  711                    -                   64                   64
APPLICATION          APPLICATION          WIHDB                                   1                  710                    -                   64                   64
APPLICATION          APPLICATION          WIHDB                                   1                  709                    -                   64                   64
APPLICATION          APPLICATION          WIHDB                                   1                  708                    -                   64                   64
APPLICATION          APPLICATION          WIHDB                                   1                  707                    -                   64                   64
APPLICATION          APPLICATION          WIHDB                                   1                  706                    -                   64                   64
APPLICATION          APPLICATION          WIHDB                                   1                  705                    -                   64                   64
APPLICATION          APPLICATION          WIHDB                                   1                  704                    -                   64                   64
APPLICATION          APPLICATION          WIHDB                                   1                  702                    -                   64                   64
APPLICATION          APPLICATION          WIHDB                                   1                  701                    -                   64                   64
APPLICATION          APPLICATION          WIHDB                                   1                  700                    -                   64                   64
DATABASE             UTILITY              IOCDATA                                 5                    -                    -                   64                   64
APPLICATION          APPLICATION          IOCDATA                                 1                47779                    -                   64                   64
APPLICATION          APPLICATION          IOCDATA                                 1                47812                    -                   64                   64
APPLICATION          APPLICATION          IOCDATA                                 1                47775                    -                   64                   64
APPLICATION          APPLICATION          IOCDATA                                 1                47795                    -                   64                   64
APPLICATION          APPLICATION          IOCDATA                                 1                47784                    -                   64                   64
APPLICATION          APPLICATION          IOCDATA                                 1                47780                    -                   64                   64
APPLICATION          APPLICATION          IOCDATA                                 1                47770                    -                   64                   64
APPLICATION          APPLICATION          IOCDATA                                 1                47744                    -                   64                   64
APPLICATION          APPLICATION          IOCDATA                                 1                47763                    -                   64                   64
APPLICATION          APPLICATION          IOCDATA                                 1                47788                    -                   64                   64
APPLICATION          APPLICATION          IOCDATA                                 1                47767                    -                   64                   64
APPLICATION          APPLICATION          IOCDATA                                 1                47813                    -                   64                   64
APPLICATION          APPLICATION          IOCDATA                                 1                47733                    -                   64                   64
DBMS                 FCM_LOCAL            -                                      74                    -                    -                    0                    0
PRIVATE              PRIVATE              -                                      88                    -                 2749                    0                    0
PRIVATE              PRIVATE              -                                      88                    -                 2792                    0                    0
PRIVATE              PRIVATE              -                                      88                    -                 2791                    0                    0
PRIVATE              CLIENT_CONTEXT       -                                      90                    -                 2615                    0                    0
PRIVATE              CLIENT_CONTEXT       -                                      90                    -                 2538                    0                    0
PRIVATE              PRIVATE              -                                      88                    -                 2228                    0                    0
PRIVATE              PRIVATE              -                                      88                    -                 2227                    0                    0
PRIVATE              PRIVATE              -                                      88                    -                 1708                    0                    0
PRIVATE              PRIVATE              -                                      88                    -                 1707                    0                    0
PRIVATE              PRIVATE              -                                      88                    -                   20                    0                    0

  320 record(s) selected.


